PROVNUM,day_of_week,CNA_contract_hours_mean,CNA_contract_hours_min,CNA_contract_hours_max
335100,Thursday,619.7023076923077,547.97,694.3
335791,Thursday,587.3461538461538,486.75,666.25
335100,Wednesday,586.7023076923077,490.38,689.18
335100,Friday,578.22,492.5,642.99
335791,Saturday,572.9423076923077,486.0,638.75
335791,Wednesday,563.3653846153846,510.25,622.5
335791,Friday,563.1153846153846,478.5,653.0
335791,Tuesday,553.9230769230769,452.25,628.75
335100,Saturday,553.9161538461539,508.89,591.32
335100,Tuesday,549.8315384615385,385.27,655.76
335791,Monday,534.4038461538462,486.0,609.25
335791,Sunday,519.4615384615385,470.75,573.25
335100,Sunday,502.4115384615385,408.88,584.79
335100,Monday,448.2376923076923,380.81,526.91
335653,Thursday,425.8361538461538,397.12,466.76
335653,Wednesday,408.12,345.01,456.61
335291,Thursday,397.40384615384613,326.75,479.75
335291,Friday,395.84615384615387,348.0,443.5
335653,Tuesday,395.7623076923077,344.65,435.91
335653,Monday,392.22999999999996,336.0,483.7
335291,Saturday,390.78846153846155,327.5,424.5
335291,Tuesday,386.8076923076923,333.75,453.75
335653,Saturday,373.92461538461544,331.2,463.66
335011,Wednesday,368.4230769230769,295.0,466.5
335653,Friday,367.92923076923074,299.71,409.72
335291,Wednesday,367.61538461538464,318.5,429.5
335011,Thursday,363.75,279.5,474.75
335291,Monday,355.5,265.75,391.75
335011,Tuesday,345.40384615384613,260.25,396.75
335653,Sunday,344.9130769230769,295.74,418.94
335291,Sunday,342.46153846153845,279.5,366.75
335011,Friday,320.63461538461536,210.25,426.25
335811,Saturday,316.53846153846155,269.0,368.75
335811,Friday,315.86538461538464,258.5,382.75
335011,Monday,303.4423076923077,227.0,361.75
335811,Tuesday,301.36538461538464,240.75,389.25
335363,Wednesday,296.1753846153846,260.5,337.75
335388,Saturday,287.4423076923077,240.75,336.0
335811,Thursday,278.86538461538464,234.25,374.25
335363,Thursday,277.15384615384613,225.0,347.75
335363,Friday,272.8076923076923,231.25,313.25
335811,Sunday,269.7307692307692,228.0,318.75
335581,Tuesday,269.5769230769231,206.07,368.72
335011,Saturday,267.11538461538464,203.25,349.0
335811,Wednesday,266.1730769230769,205.0,335.5
335349,Friday,265.25,213.5,288.5
335811,Monday,262.11538461538464,208.0,309.75
335363,Saturday,260.0169230769231,221.5,319.5
335581,Thursday,258.83076923076925,200.34,288.23
335363,Tuesday,255.15384615384616,213.0,328.0
335626,Thursday,254.02692307692308,235.0,281.25
335626,Wednesday,253.65153846153848,204.75,291.0
335581,Friday,253.48999999999998,213.47,299.43
335626,Saturday,252.59615384615384,206.25,275.5
335080,Saturday,250.94230769230768,200.5,313.0
335363,Monday,250.28846153846155,184.25,316.0
335626,Friday,249.57692307692307,213.5,278.0
335581,Wednesday,248.19153846153844,175.66,290.37
335317,Thursday,244.42307692307693,224.75,255.75
335349,Saturday,241.90384615384616,182.25,328.25
335201,Friday,237.8846153846154,114.5,318.75
335349,Wednesday,237.32692307692307,186.25,276.0
335080,Thursday,235.59615384615384,186.0,294.5
335317,Friday,234.59615384615384,190.75,285.75
335317,Tuesday,234.59615384615384,208.25,261.5
335388,Sunday,231.98076923076923,189.75,294.0
335227,Thursday,230.91692307692307,193.59,266.12
335817,Sunday,230.76307692307694,205.17,270.25
335080,Friday,230.67307692307693,182.75,290.0
335349,Monday,227.8846153846154,126.25,282.25
335080,Wednesday,227.46153846153845,184.5,271.25
335227,Wednesday,227.00153846153847,181.04,271.4
335317,Monday,225.96153846153845,195.5,252.75
335448,Thursday,224.8653846153846,190.5,276.25
335266,Friday,224.30769230769232,197.5,244.5
335266,Sunday,223.46153846153845,173.75,265.0
335462,Saturday,223.45615384615382,170.75,302.39
335448,Tuesday,222.96538461538464,165.0,243.5
335388,Monday,221.15384615384616,195.75,255.25
335266,Thursday,220.44230769230768,201.75,238.5
335266,Wednesday,220.17307692307693,197.5,248.25
335626,Tuesday,219.40384615384616,181.75,251.5
335448,Wednesday,218.8846153846154,190.0,253.25
335349,Tuesday,218.67307692307693,175.0,266.25
335493,Friday,216.84615384615384,0.0,326.75
335266,Saturday,216.84615384615384,189.25,238.0
335817,Saturday,216.66923076923075,190.75,244.0
335080,Monday,216.55769230769232,151.25,252.0
335080,Tuesday,215.17307692307693,177.5,262.0
335388,Thursday,215.07692307692307,162.5,248.5
335317,Wednesday,214.78846153846155,190.0,262.0
335448,Friday,214.3846153846154,166.25,271.5
335266,Monday,214.07692307692307,167.75,241.75
335317,Sunday,214.05769230769232,185.0,240.75
335537,Friday,213.46153846153845,187.5,255.0
335626,Sunday,213.17307692307693,189.25,238.0
335227,Saturday,212.91076923076923,172.81,238.5
335475,Saturday,212.8,160.81,248.93
335628,Friday,212.49846153846153,161.25,257.25
335317,Saturday,212.46153846153845,191.5,242.0
335388,Friday,211.82692307692307,189.25,257.75
335537,Wednesday,211.15384615384616,172.5,240.0
335475,Tuesday,208.02615384615385,175.24,228.49
335475,Sunday,206.19230769230768,161.55,237.35
335537,Thursday,205.96153846153845,157.5,255.0
335626,Monday,205.8846153846154,155.75,239.75
335080,Sunday,205.84615384615384,159.25,271.25
335227,Friday,205.41615384615383,142.4,259.78
335363,Sunday,205.03461538461536,163.0,263.25
335493,Wednesday,204.0,0.0,293.75
335448,Saturday,203.94230769230768,156.25,288.5
335628,Wednesday,203.19538461538463,165.36,246.4
335475,Monday,202.4353846153846,164.51,233.51
335349,Thursday,202.34615384615384,177.5,238.25
335266,Tuesday,201.01923076923077,154.5,263.0
335388,Tuesday,200.98076923076923,157.75,244.0
335201,Saturday,200.80769230769232,89.0,274.25
335475,Friday,200.61384615384617,167.37,268.35
335388,Wednesday,200.17307692307693,166.25,248.0
335817,Thursday,200.02384615384614,173.0,219.75
335250,Friday,199.96153846153845,179.0,227.5
335537,Tuesday,198.46153846153845,127.5,232.5
335581,Monday,197.83615384615385,140.93,258.58
335201,Sunday,197.73076923076923,89.0,311.25
335227,Tuesday,197.49076923076925,160.73,226.31
335372,Wednesday,197.04615384615383,164.88,223.28
335424,Sunday,194.55769230769232,160.75,252.5
335787,Saturday,194.40615384615387,170.57,261.29
335423,Friday,194.15384615384616,150.5,231.75
335628,Thursday,192.6769230769231,136.75,241.5
335817,Monday,192.4253846153846,157.25,227.73
335424,Saturday,192.21153846153845,155.5,232.0
335448,Monday,191.94230769230768,155.5,232.25
335227,Monday,190.34846153846152,151.89,213.12
335628,Tuesday,190.30307692307693,118.0,246.25
335475,Thursday,190.2476923076923,164.97,236.32
335493,Monday,189.21153846153845,0.0,282.5
335817,Wednesday,188.53846153846155,150.5,221.5
335628,Monday,186.9323076923077,128.5,258.42
335257,Monday,186.92307692307693,2.0,244.0
335493,Thursday,186.78846153846155,0.0,291.25
335475,Wednesday,185.64999999999998,152.77,234.68
335257,Friday,185.3653846153846,167.25,200.75
335581,Saturday,185.0223076923077,150.07,250.76
335817,Tuesday,184.9092307692308,159.25,219.25
335424,Tuesday,184.90384615384616,158.25,235.5
335817,Friday,184.1130769230769,158.75,206.5
335011,Sunday,182.96153846153845,143.5,219.75
335628,Saturday,182.55615384615385,152.5,217.0
335201,Thursday,181.98076923076923,37.5,269.0
335372,Monday,181.47846153846152,124.11,216.99
335201,Wednesday,181.23076923076923,35.5,261.5
335257,Wednesday,180.71153846153845,154.0,216.0
335448,Sunday,179.19230769230768,101.0,252.75
335321,Thursday,178.76923076923077,146.25,212.75
335321,Friday,178.48076923076923,153.25,246.0
335462,Sunday,177.70846153846153,139.5,246.67
335257,Thursday,177.30769230769232,147.25,219.25
335787,Thursday,176.2930769230769,127.6,210.1
335493,Tuesday,175.55769230769232,0.0,282.0
335424,Wednesday,175.21153846153845,160.25,196.75
335020,Saturday,175.15384615384616,142.25,223.5
335625,Tuesday,174.88923076923078,152.67,204.16
335426,Wednesday,174.78846153846155,143.25,194.75
335257,Tuesday,174.73076923076923,141.25,214.75
335625,Friday,174.71076923076922,146.53,203.81
335659,Monday,174.7069230769231,139.08,217.64
335257,Saturday,174.42307692307693,146.25,207.25
335493,Saturday,173.82692307692307,0.0,267.5
335250,Saturday,173.07692307692307,145.0,191.0
335372,Friday,172.6123076923077,124.19,200.67
335321,Monday,172.17307692307693,113.75,234.25
335787,Sunday,172.03153846153845,129.73,228.65
335250,Thursday,171.25,129.0,198.25
335423,Thursday,171.21153846153845,112.25,211.75
335659,Saturday,170.73,139.1,200.99
335424,Monday,170.44230769230768,130.75,195.75
335321,Wednesday,170.03846153846155,142.25,222.0
335522,Friday,169.64615384615385,136.0,227.0
335426,Tuesday,169.53846153846155,132.25,208.0
335250,Sunday,168.32692307692307,146.75,188.25
335349,Sunday,168.1346153846154,124.75,223.25
335798,Wednesday,167.56076923076924,128.4,222.8
335665,Thursday,166.78846153846155,139.5,205.25
335423,Saturday,166.78846153846155,85.5,219.75
335201,Tuesday,166.3653846153846,44.75,263.25
335659,Tuesday,165.8376923076923,127.48,195.79
335372,Thursday,165.6976923076923,144.56,206.0
335423,Wednesday,165.44230769230768,118.75,215.0
335227,Sunday,164.96076923076922,114.9,219.6
335424,Thursday,164.59615384615384,131.25,199.5
335537,Monday,164.42307692307693,112.5,210.0
335628,Sunday,163.87461538461537,112.25,216.0
335424,Friday,163.19230769230768,143.0,196.25
335787,Friday,163.06076923076924,134.82,203.37
335659,Thursday,162.03769230769228,112.79,193.1
335321,Saturday,161.71153846153845,121.5,204.5
335798,Thursday,161.6523076923077,134.54,185.24
335659,Wednesday,161.18769230769232,117.94,185.16
335321,Tuesday,160.98076923076923,129.0,237.25
335659,Friday,160.3146153846154,129.24,188.28
335798,Tuesday,160.1676923076923,115.22,222.1
335338,Wednesday,159.7723076923077,123.25,206.75
335625,Monday,159.45461538461538,125.31,189.46
335522,Thursday,159.44230769230768,126.5,206.25
335250,Wednesday,158.90384615384616,142.0,189.5
335787,Tuesday,158.71846153846155,122.04,197.79
335070,Wednesday,158.6153846153846,130.75,186.5
335250,Tuesday,158.55769230769232,135.0,174.5
335310,Saturday,158.48076923076923,135.5,194.25
335625,Thursday,158.4746153846154,132.41,202.61
335423,Tuesday,158.25,105.5,190.0
335286,Saturday,158.10076923076923,122.96,190.37
335338,Thursday,157.96153846153845,119.0,213.75
335522,Wednesday,157.90384615384616,95.25,231.0
335659,Sunday,157.6123076923077,119.67,180.52
335787,Monday,157.25923076923075,106.56,187.5
335423,Monday,157.21153846153845,77.25,206.0
335093,Saturday,156.03846153846155,119.5,201.0
335372,Saturday,156.02923076923076,133.74,180.76
335665,Friday,155.94230769230768,118.0,183.75
335734,Saturday,155.82692307692307,135.25,180.5
335070,Tuesday,155.66692307692307,97.0,203.42
335201,Monday,155.53846153846155,22.75,287.75
335426,Thursday,155.5,129.0,174.5
335020,Sunday,155.3846153846154,132.75,202.0
335426,Saturday,155.3846153846154,96.25,188.75
335625,Sunday,155.24384615384616,129.25,198.87
335703,Tuesday,154.78846153846155,92.75,230.75
335522,Tuesday,154.59615384615384,124.75,202.0
335838,Friday,154.19230769230768,130.75,180.5
335070,Thursday,153.76923076923077,113.25,206.25
335332,Tuesday,153.3623076923077,116.25,183.1
335372,Tuesday,152.90692307692308,126.7,183.65
335838,Monday,152.78846153846155,124.75,176.0
335372,Sunday,152.6346153846154,126.34,175.23
335426,Monday,152.15923076923076,109.75,204.0
335070,Saturday,152.03846153846155,129.25,198.0
335286,Friday,151.89153846153846,123.13,197.85
335462,Thursday,151.64,102.57,200.0
335332,Wednesday,151.37461538461537,102.63,193.49
335132,Thursday,151.27923076923076,77.5,231.13
335462,Tuesday,151.2776923076923,112.0,223.45
335250,Monday,151.03846153846155,89.25,178.75
335495,Tuesday,150.75615384615384,107.14,202.7
335020,Friday,150.69230769230768,127.5,184.75
335495,Friday,150.63384615384615,111.0,219.18
335338,Friday,150.19230769230768,92.75,197.75
335665,Tuesday,149.0,102.0,207.0
335338,Tuesday,148.98076923076923,105.5,208.5
335495,Wednesday,148.7223076923077,119.0,183.3
335310,Sunday,148.53846153846155,133.25,166.75
335838,Saturday,148.28846153846155,97.5,198.25
335462,Monday,148.1153846153846,115.83,197.25
335462,Wednesday,147.67307692307693,119.55,178.1
335462,Friday,147.18923076923076,91.75,170.55
335286,Thursday,147.09692307692308,123.38,180.21
335522,Monday,145.7,107.5,180.5
335274,Saturday,145.42615384615385,109.54,185.31
335093,Sunday,145.3846153846154,98.25,185.5
335274,Sunday,144.95923076923077,15.5,188.94
335625,Saturday,144.88384615384615,120.54,185.93
335125,Thursday,144.72384615384615,121.96,169.07
335798,Friday,144.68538461538463,107.61,170.89
335495,Thursday,144.5976923076923,107.75,180.11
335493,Sunday,144.1153846153846,0.0,281.75
335574,Saturday,143.82692307692307,119.0,199.25
335734,Sunday,143.75,104.5,196.25
335273,Sunday,143.44076923076923,83.73,220.13
335070,Friday,142.96153846153845,111.75,194.0
335426,Sunday,142.84615384615384,106.0,174.25
335332,Friday,142.58384615384617,91.84,190.58
335310,Friday,142.57692307692307,122.0,161.0
335537,Saturday,141.92307692307693,112.5,165.0
335310,Wednesday,141.44230769230768,114.0,163.25
335838,Wednesday,141.34615384615384,110.25,171.25
335286,Tuesday,140.71384615384616,111.53,158.62
335265,Thursday,140.3846153846154,88.75,234.5
335328,Saturday,140.3153846153846,102.5,182.5
335178,Wednesday,140.30769230769232,103.5,193.75
335257,Sunday,140.26923076923077,114.5,172.75
335338,Monday,140.09615384615384,99.5,178.5
335286,Wednesday,139.8923076923077,114.83,162.64
335379,Saturday,139.26923076923077,123.75,165.75
335020,Monday,138.8653846153846,88.5,274.5
335015,Sunday,138.4930769230769,98.29,187.14
335644,Saturday,138.46307692307693,84.15,199.63
335423,Sunday,138.3846153846154,32.25,214.5
335644,Thursday,138.17076923076922,105.25,183.62
335332,Monday,138.09615384615384,94.92,192.89
335286,Monday,137.3623076923077,103.7,186.8
335703,Thursday,136.5,90.25,207.25
335093,Thursday,136.26307692307694,98.5,185.5
335274,Friday,136.11153846153846,71.25,173.96
335625,Wednesday,135.3623076923077,116.46,175.92
335125,Wednesday,135.22,113.52,169.98
335125,Monday,135.05461538461537,86.92,168.07
335703,Wednesday,134.96153846153845,98.5,175.25
335426,Friday,134.8846153846154,105.75,156.0
335665,Monday,134.3653846153846,96.0,169.75
335328,Sunday,134.30307692307693,90.25,179.16
335838,Tuesday,133.82692307692307,111.0,188.0
335798,Monday,133.80923076923077,69.66,190.26
335838,Sunday,133.09615384615384,91.0,189.0
335665,Saturday,132.8846153846154,94.5,165.75
335321,Sunday,132.23076923076923,101.25,162.75
335093,Tuesday,131.8846153846154,100.0,166.5
335125,Tuesday,131.51,111.61,143.41
335381,Tuesday,131.33307692307693,80.26,186.22
335332,Thursday,131.09615384615384,7.25,187.32
335224,Tuesday,130.7323076923077,78.0,184.0
335328,Thursday,130.70538461538462,109.5,176.23
335274,Wednesday,130.70076923076923,91.28,186.29
335178,Thursday,130.6153846153846,109.0,162.0
335531,Wednesday,130.34615384615384,97.25,160.5
335310,Thursday,130.23076923076923,113.5,148.0
335265,Tuesday,130.23076923076923,85.5,219.0
335644,Friday,130.13615384615383,99.69,173.25
335387,Saturday,130.1330769230769,99.3,168.61
335798,Sunday,129.82538461538462,88.75,170.67
335224,Friday,129.63846153846154,71.5,183.1
335673,Friday,129.17307692307693,69.5,176.25
335838,Thursday,128.94230769230768,90.5,159.5
335850,Saturday,128.8669230769231,85.53,200.82
335224,Wednesday,128.75076923076924,63.0,187.4
335286,Sunday,128.73999999999998,98.38,158.0
335265,Wednesday,128.19230769230768,73.75,199.25
335537,Sunday,127.5,75.0,157.5
335310,Tuesday,127.15384615384616,97.75,159.25
335132,Wednesday,127.12692307692308,54.75,187.75
335273,Saturday,127.09769230769231,90.2,183.52
335178,Tuesday,126.98076923076923,93.5,157.75
335178,Friday,126.8076923076923,106.5,148.25
335093,Monday,126.6923076923077,99.5,179.0
335273,Friday,126.60076923076923,94.73,155.24
335834,Monday,126.48076923076923,98.25,152.75
335020,Thursday,125.8076923076923,84.0,175.25
335787,Wednesday,125.7976923076923,88.8,172.17
