PROVNUM,PROVNAME,Provider Address,Telephone Number,Provider Resides in Hospital,Provider Type,COUNTY_NAME,ZIP Code
335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,2000 EAST MAIN STREET,9147378400,N,Medicare and Medicaid,Westchester,10566
335004,AUBURN REHABILITATION & NURSING CENTER,85 THORNTON AVENUE,3152537351,N,Medicare and Medicaid,Cayuga,13021
335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,620 SLEEPY HOLLOW ROAD,9149415100,N,Medicare and Medicaid,Westchester,10510
335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,110 UTICA ROAD,3158535515,N,Medicare and Medicaid,Oneida,13323
335008,ST JOHNS HEALTH CARE CORPORATION,150 HIGHLAND AVENUE,5852715413,N,Medicare and Medicaid,Monroe,14620
335011,ST PATRICKS HOME,66 VAN CORTLANDT PARK SOUTH,7185192800,N,Medicare and Medicaid,Bronx,10463
335014,SCHENECTADY CENTER FOR REHABILITATION AND NURSING,526 ALTAMONT AVE,5183466121,N,Medicare and Medicaid,Schenectady,12303
335015,SCHERVIER NURSING CARE CENTER,2975 INDEPENDENCE AVE,7185481700,N,Medicare and Medicaid,Bronx,10463
335017,BEECHTREE CENTER FOR REHABILITATION AND NURSING,318 SOUTH ALBANY STREET,6072734166,N,Medicare and Medicaid,Tompkins,14850
335019,REGEIS CARE CENTER,3200 BAYCHESTER AVENUE,7183203700,N,Medicare and Medicaid,Bronx,10475
335020,HEBREW HOME FOR THE AGED AT RIVERDALE,5901 PALISADE AVENUE,7185811000,N,Medicare,Bronx,10471
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,5167199400,N,Medicare and Medicaid,Nassau,11050
335023,A HOLLY PATTERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,5165721400,Y,Medicare and Medicaid,Nassau,11553
335024,BEACH TERRACE CARE CENTER,640 WEST BROADWAY,5164314400,N,Medicare and Medicaid,Nassau,11561
335027,WEST VILLAGE REHABILITATION AND NURSING CENTER,214 W HOUSTON STREET,2123379400,N,Medicare and Medicaid,New York,10014
335028,THE CITADEL REHAB AND NURSING CTR AT KINGSBRIDGE,3400 -26  CANNON PLACE,7187968100,N,Medicare and Medicaid,Bronx,10463
335030,MOSHOLU PARKWAY NURSING & REHABILITATION CENTER,3356 PERRY AVENUE,7186553568,N,Medicare and Medicaid,Bronx,10467
335034,WYOMING COUNTY COMMUNITY HOSPITAL S N F,400 NORTH MAIN STREET,5857862233,Y,Medicare and Medicaid,Wyoming,14569
335040,HILAIRE REHAB & NURSING,9 HILAIRE DRIVE,6314270254,N,Medicare and Medicaid,Suffolk,11743
335044,FAR ROCKAWAY CENTER FOR REHABILITATION AND NURSING,13 11 VIRGINA ST,7183272909,N,Medicare and Medicaid,Queens,11691
335046,NORTHERN MANOR GERIATRIC CENTER INC,199 N MIDDLETOWN ROAD,8456233904,N,Medicare and Medicaid,Rockland,10954
335048,WILLIAMSBRIDGE CENTER FOR REHABILITATION AND NRSG,1540 TOMLINSON AVENUE,7188926600,N,Medicare and Medicaid,Bronx,10461
335050,MARY MANNING WALSH NURSING HOME CO INC,1339 YORK AVENUE,6464754800,N,Medicare and Medicaid,New York,10021
335053,ELCOR NURSING  AND REHABILITATION CENTER,48 COLONIAL DRIVE,6077390304,N,Medicare and Medicaid,Chemung,14845
335056,ELDERWOOD AT AMHERST,4459 BAILEY AVE,7168352543,N,Medicare and Medicaid,Erie,14226
335061,UNIVERSITY CENTER FOR REHABILITATION AND NURSING,2505 GRAND AVE,7182951400,N,Medicare and Medicaid,Bronx,10468
335063,COLER REHABILITATION AND NURSING CARE CENTER,900 MAIN ST,2128486000,N,Medicare and Medicaid,New York,10044
335067,APEX REHABILITATION & CARE CENTER,78 BIRCHWOOD DR,6314233200,N,Medicare and Medicaid,Suffolk,11746
335068,CROUSE COMMUNITY CENTER INC,101 SOUTH STREET,3156849595,N,Medicare and Medicaid,Madison,13408
335069,CONESUS LAKE NURSING HOME,6131 BIG TREE ROAD BOX F,5853463001,N,Medicare and Medicaid,Livingston,14487
335070,BROOKLYN GARDENS NURSING & REHABILITATION CENTER,835 HERKIMER STREET,7182212600,N,Medicare and Medicaid,Kings,11233
335072,ST JOSEPH'S HOSPITAL - SKILLED NURSING FACILITY,555 ST JOSEPH'S BLVD,6077336541,Y,Medicare and Medicaid,Chemung,14902
335074,"PARKVIEW CARE AND REHABILITATION CENTER, INC",5353 MERRICK ROAD,5167981800,N,Medicare and Medicaid,Nassau,11758
335077,NORTHWOODS REHAB AND NURSING CENTER AT MORAVIA,7 KEELER AVENUE,3154970440,N,Medicare and Medicaid,Cayuga,13118
335078,YORKTOWN REHABILITATION & NURSING CENTER,2300 CATHERINE STREET,9147392244,N,Medicare and Medicaid,Westchester,10567
335079,GOLD CREST CARE CENTER,2316 BRUNER AVENUE,7188826400,N,Medicare and Medicaid,Bronx,10469
335080,HUDSON HILL CENTER FOR REHABILITATION & NURSING,65 ASHBURTON AVENUE,9149634000,N,Medicare and Medicaid,Westchester,10701
335081,ST ANNS COMMUNITY,1500 PORTLAND AVENUE,5856976000,N,Medicare and Medicaid,Monroe,14621
335082,WATERVIEW HEIGHTS REHABILITATION AND NURSING CTR,425 BEACH AVENUE,5856630930,N,Medicare and Medicaid,Monroe,14612
335083,BERKSHIRE NURSING & REHABILITATION CENTER,10 BERKSHIRE ROAD,6315870600,N,Medicare and Medicaid,Suffolk,11704
335087,ST JOSEPHS HOME,950 LINDEN STREET,3153933780,N,Medicare and Medicaid,St. Lawrence,13669
335090,ELIZABETH CHURCH MANOR NURSING HOME,863 FRONT STREET,6077223463,N,Medicare and Medicaid,Broome,13905
335091,FULTON CENTER FOR REHABILITATION AND HEALTHCARE,847 COUNTY  HIGHWAY 122,5187733400,N,Medicare and Medicaid,Fulton,12078
335092,HENRY J CARTER SKILLED NURSING FACILITY,1752 PARK AVE,6466860000,Y,Medicare and Medicaid,New York,10035
335093,PARK NURSING HOME,128 BEACH 115TH STREET,7184746400,N,Medicare and Medicaid,Queens,11694
335096,NEW RIVERDALE REHAB AND NURSING,641 WEST 230TH ST,7187964800,N,Medicare and Medicaid,Bronx,10463
335097,N Y S VETERANS HOME,4211 STATE HIGHWAY 220,6078433100,N,Medicare and Medicaid,Chenango,13830
335098,FINGER LAKES HEALTH,196-198 NORTH STREET,3157874730,N,Medicare and Medicaid,Ontario,14456
335100,ISABELLA GERIATRIC CENTER INC,515 AUDUBON AVENUE,2123429200,N,Medicare and Medicaid,New York,10040
335103,RIVER VIEW REHABILITATION AND NURSING CARE CENTER,510 FIFTH AVENUE,6076872594,N,Medicare and Medicaid,Tioga,13827
335104,THE HERITAGE REHABILITATION AND HEALTH CARE CENTER,5606 15TH AVE,7188511000,N,Medicare and Medicaid,Kings,11219
335105,JEWISH HOME OF ROCHESTER,2021 WINTON ROAD SOUTH,5854277760,N,Medicare and Medicaid,Monroe,14618
335108,SEA VIEW HOSPITAL REHABILITATION CENTER AND HOME,460 BRIELLE AVE,7183173000,N,Medicare and Medicaid,Richmond,10314
335110,EVERGREEN COMMONS REHABILITATION AND NURSING CTR,1070 LUTHER ROAD,5184794662,N,Medicare and Medicaid,Rensselaer,12061
335112,BROTHERS OF MERCY NURSING & REHABILITATION CENTER,10570 BERGTOLD ROAD,7167596985,N,Medicare and Medicaid,Erie,14031
335125,SPRING CREEK REHABILITATION & NURSING CARE CENTER,660 LOUISIANA AVE,7186697100,N,Medicare and Medicaid,Kings,11239
335127,ALICE HYDE MEDICAL CENTER,45 SIXTH STREET,5184818000,N,Medicare and Medicaid,Franklin,12953
335128,ST PETERS NURSING AND REHABILITATION CENTER,301 HACKETT BLVD,5185257600,N,Medicare and Medicaid,Albany,12208
335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,157 15 19TH AVENUE,7187460400,N,Medicare and Medicaid,Queens,11357
335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",405 CARLTON AVE,7187896262,N,Medicare and Medicaid,Kings,11238
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,7182892100,N,Medicare and Medicaid,Queens,11040
335133,SAPPHIRE CENTER FOR REHAB & NURSING,35 15 PARSONS BLVD,7189613500,N,Medicare and Medicaid,Queens,11354
335136,LORETTO HEALTH AND REHABILITATION CENTER,700 EAST BRIGHTON AVENUE,3154695570,N,Medicare and Medicaid,Onondaga,13205
335139,FOREST HILLS CARE CENTER,71 44 YELLOWSTONE BLVD,7185444300,N,Medicare and Medicaid,Queens,11375
335140,BELAIR CARE CENTER INC,2478 JERUSALEM AVE,5168261160,N,Medicare and Medicaid,Nassau,11710
335141,EMERGE NURSING AND REHABILITATION AT GLEN COVE,2 MEDICAL PLAZA,5166710858,N,Medicare and Medicaid,Nassau,11542
335142,HERITAGE PARK REHAB & SKILLED NURSING,150 PRATHER AVENUE,7164881921,N,Medicare and Medicaid,Chautauqua,14701
335143,MEADOW PARK REHABILITATION AND HEALTH CENTER L L C,78-10 164TH STREET,7185918300,N,Medicare and Medicaid,Queens,11366
335146,FAIRVIEW NURSING CARE CENTER INC,69 70 GRAND CENTRAL PARKWAY,7182634600,N,Medicare and Medicaid,Queens,11375
335148,THE WILLOWS AT RAMAPO REHAB AND NURSING CENTER,30 CRAGMERE ROAD,8453571230,N,Medicare and Medicaid,Rockland,10901
335154,WATERVIEW NURSING CARE CENTER,119 15 27TH AVENUE,7184615000,N,Medicare and Medicaid,Queens,11354
335155,WINDSOR PARK REHAB & NURSING CENTER,212 40 HILLSIDE AVENUE,7184680800,N,Medicare and Medicaid,Queens,11427
335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,275 W MERRICK ROAD,5166234000,N,Medicare and Medicaid,Nassau,11520
335158,OCEANSIDE CARE CENTER INC,2914 LINCOLN AVENUE,5165362300,N,Medicare and Medicaid,Nassau,11572
335159,ROSS CENTER FOR NURSING AND REHABILITATION,839 SUFFOLK AVENUE,6312734700,N,Medicare and Medicaid,Suffolk,11717
335160,LYNBROOK RESTORATIVE THERAPY AND NURSING,243 ATLANTIC AVENUE,5165992744,N,Medicare and Medicaid,Nassau,11563
335161,DALEVIEW CARE CENTER,574 FULTON STREET,5166949800,N,Medicare and Medicaid,Nassau,11735
335162,THE GRAND REHABILITATION AND NURSING AT SOUTH POIN,ONE LONG BEACH ROAD,5164320300,N,Medicare and Medicaid,Nassau,11558
335163,OXFORD NURSING HOME,144 SO OXFORD ST,7186380360,N,Medicare and Medicaid,Kings,11217
335164,HUMBOLDT HOUSE REHABILITATION AND NURSING CENTER,64 HAGER STREET,7168864377,N,Medicare and Medicaid,Erie,14208
335165,PREMIER NSG & REHAB CENTER OF FAR ROCKAWAY,22-41 NEW HAVEN AVENUE,7184713400,N,Medicare and Medicaid,Queens,11691
335168,OCEANVIEW NURSING & REHABILITATION CARE CENTER,315 BEACH 9TH STREET,7184716000,N,Medicare and Medicaid,Queens,11691
335172,COMPREHENSIVE REHAB & NURSING CTR AT WILLIAMSVILLE,147 REIST STREET,7166335400,N,Medicare and Medicaid,Erie,14221
335174,COBBLE HILL HEALTH CENTER INC,380 HENRY STREET,7188556789,N,Medicare and Medicaid,Kings,11201
335175,BROOKSIDE MULTICARE NURSING CENTER,7 ROUTE 25A,6317242200,N,Medicare and Medicaid,Suffolk,11787
335176,ROSA COPLON JEWISH HOME AND INFIRMARY,2700 NORTH FOREST ROAD,7166393330,N,Medicare and Medicaid,Erie,14068
335178,BROOKLYN CTR FOR REHAB AND RESIDENTIAL HEALTH CARE,170 BUFFALO AVENUE,7182529800,N,Medicare and Medicaid,Kings,11213
335180,"SAFIRE REHABILITATION OF NORTHTOWNS, L L C",2799 SHERIDAN DRIVE,7168374466,N,Medicare and Medicaid,Erie,14150
335182,GREENFIELD HEALTH & REHAB CENTER,5949 BROADWAY,7166843000,N,Medicare and Medicaid,Erie,14086
335184,VAN DUYN CENTER FOR REHABILITATION AND NURSING,5075 WEST SENECA TURNPIKE,3154496000,N,Medicare and Medicaid,Onondaga,13215
335185,CEDAR MANOR NURSING & REHABILITATION CENTER,32 CEDAR LANE,9147621600,N,Medicare and Medicaid,Westchester,10562
335187,HUDSON POINTE AT RIVERDALE CTR FOR NURSING & REHAB,3220 HENRY HUDSON PARKWAY,7185499400,N,Medicare and Medicaid,Bronx,10463
335188,NEW PALTZ CENTER FOR REHABILITATION AND NURSING,1 JANSEN ROAD,8452550830,N,Medicare and Medicaid,Ulster,12561
335190,JEWISH HOME OF CENTRAL NEW YORK,4101 E GENESEE ST,3154469111,N,Medicare and Medicaid,Onondaga,13214
335196,SILVER LAKE SPECIALIZED REHAB AND CARE CENTER,275 CASTLETON AVENUE,7184477800,N,Medicare and Medicaid,Richmond,10301
335197,MONROE COMMUNITY HOSPITAL,435 EAST HENRIETTA ROAD,5857606500,N,Medicare and Medicaid,Monroe,14620
335199,RESORT NURSING HOME,430 BEACH 68TH STREET,7184745200,N,Medicare and Medicaid,Queens,11692
335201,BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,612 ALLERTON AVENUE,7185194125,N,Medicare and Medicaid,Bronx,10467
335202,THE GRAND REHABILITATION AND NURSING AT BATAVIA,257 STATE ST,5853431300,N,Medicare and Medicaid,Genesee,14020
335204,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,6074315980,Y,Medicare and Medicaid,Otsego,13820
335208,VALLEY VIEW MANOR NURSING HOME,40 PARK STREET,6073349931,N,Medicare and Medicaid,Chenango,13815
335210,HIGHLAND PARK REHABILITATION AND NURSING CENTER,160 SENECA ST,5855933750,N,Medicare and Medicaid,Allegany,14895
335211,GLENGARIFF HEALTH CARE CENTER,141 DOSORIS LANE,5166761100,N,Medicare and Medicaid,Nassau,11542
335212,THE VILLAGES OF ORLEANS HEALTH AND REHAB CENTER,14012 ROUTE 31,5855895637,N,Medicare and Medicaid,Orleans,14411
335213,MASSAPEQUA CENTER REHABILITATION & NURSING,101 LOUDEN AVE,6312640222,N,Medicare and Medicaid,Suffolk,11701
335214,EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,2700 EASTCHESTER ROAD,7182315550,N,Medicare and Medicaid,Bronx,10469
335216,AVON NURSING HOME L L C,215 CLINTON STREET,5852262225,N,Medicare and Medicaid,Livingston,14414
335218,CORTLAND PARK REHABILITATION AND NURSING CENTER,193 CLINTON AVENUE,6077569921,N,Medicare and Medicaid,Cortland,13045
335219,NEWARK MANOR NURSING HOME INC,222 WEST PEARL STREET,3153314690,N,Medicare and Medicaid,Wayne,14513
335220,MERCY LIVING CENTER,114 WAWBEEK AVE,5183593355,Y,Medicare and Medicaid,Franklin,12986
335224,"WHITE PLAINS CENTER FOR NURSING CARE, L L C",220 WEST POST ROAD,9146868880,N,Medicare and Medicaid,Westchester,10606
335225,OAK HILL REHABILITATION AND NURSING CARE CENTER,602 HUDSON ST,6072728282,N,Medicare and Medicaid,Tompkins,14850
335226,VESTAL PARK REHABILITATION AND NURSING CENTER,"1501 ROUTE 26 SOUTH,",6077544105,N,Medicare and Medicaid,Broome,13850
335227,WORKMENS CIRCLE MULTICARE CENTER,3155 GRACE AVENUE,7183798100,N,Medicare and Medicaid,Bronx,10469
335228,BRIDGEWATER CENTER FOR REHAB & NURSING L L C,159 163 FRONT STREET - BOX 765,6077227225,N,Medicare and Medicaid,Broome,13902
335229,PUTNAM NURSING & REHABILITATION CENTER,404 LUDINGTONVILLE ROAD,8458783241,N,Medicare and Medicaid,Putnam,12531
335231,"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",8533 JERICHO TPKE,5166924100,N,Medicare and Medicaid,Nassau,11797
335232,UPPER EAST SIDE REHABILITATION AND NURSING CENTER,211 EAST 79 ST,2128791600,N,Medicare and Medicaid,New York,10021
335233,COLONIAL PARK REHABILITATION AND NURSING CENTER,950 FLOYD AVENUE,3153365400,N,Medicare and Medicaid,Oneida,13440
335236,ROBINSON TERRACE,28652 STATE HIGHWAY 23,6076527521,N,Medicare and Medicaid,Delaware,12167
335238,THE VALLEY VIEW CENTER FOR NURSING CARE AND REHAB,2 GLENMERE COVE RD,8452914740,N,Medicare and Medicaid,Orange,10924
335239,"CLOVE LAKES HEALTH CARE AND REHAB CENTER, INC",25 FANNING STREET,7182897900,N,Medicare and Medicaid,Richmond,10314
335243,CHESTNUT PARK REHABILITATION AND NURSING CENTER,330 CHESTNUT STREET,6074328500,N,Medicare and Medicaid,Otsego,13820
335245,"CATON PARK REHAB AND NURSING CENTER, L L C",1312 CATON AVENUE,7186937000,N,Medicare and Medicaid,Kings,11226
335248,FIELDSTON LODGE CARE CENTER,666 KAPPOCK STREET,7185491203,N,Medicare and Medicaid,Bronx,10463
335249,CAYUGA NURSING AND REHABILITATION CENTER,1229 TRUMANSBURG ROAD,6072738072,N,Medicare and Medicaid,Tompkins,14850
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,5163659229,N,Medicare and Medicaid,Nassau,11021
335252,GLENDALE HOME-SCHDY CNTY DEPT SOCIAL SERVICES,59 HETCHELTOWN ROAD,5183843600,N,Medicare and Medicaid,Schenectady,12302
335253,CENTRAL PARK REHABILITATION AND NURSING CENTER,116 EAST CASTLE STREET,3154751641,N,Medicare and Medicaid,Onondaga,13205
