WorkDate,day_of_week,CNA_contract_hours
2024-01-01,Monday,0.0
2024-01-02,Tuesday,0.0
2024-01-03,Wednesday,0.0
2024-01-04,Thursday,0.0
2024-01-05,Friday,0.0
2024-01-06,Saturday,0.0
2024-01-07,Sunday,0.0
2024-01-08,Monday,0.0
2024-01-09,Tuesday,0.0
2024-01-10,Wednesday,0.0
2024-01-11,Thursday,0.0
2024-01-12,Friday,0.0
2024-01-13,Saturday,0.0
2024-01-14,Sunday,0.0
2024-01-15,Monday,0.0
2024-01-16,Tuesday,0.0
2024-01-17,Wednesday,0.0
2024-01-18,Thursday,0.0
2024-01-19,Friday,0.0
2024-01-20,Saturday,0.0
2024-01-21,Sunday,0.0
2024-01-22,Monday,0.0
2024-01-23,Tuesday,0.0
2024-01-24,Wednesday,0.0
2024-01-25,Thursday,0.0
2024-01-26,Friday,0.0
2024-01-27,Saturday,0.0
2024-01-28,Sunday,0.0
2024-01-29,Monday,0.0
2024-01-30,Tuesday,0.0
2024-01-31,Wednesday,0.0
2024-02-01,Thursday,0.0
2024-02-02,Friday,0.0
2024-02-03,Saturday,0.0
2024-02-04,Sunday,0.0
2024-02-05,Monday,0.0
2024-02-06,Tuesday,0.0
2024-02-07,Wednesday,0.0
2024-02-08,Thursday,0.0
2024-02-09,Friday,0.0
2024-02-10,Saturday,0.0
2024-02-11,Sunday,0.0
2024-02-12,Monday,0.0
2024-02-13,Tuesday,0.0
2024-02-14,Wednesday,0.0
2024-02-15,Thursday,0.0
2024-02-16,Friday,0.0
2024-02-17,Saturday,0.0
2024-02-18,Sunday,0.0
2024-02-19,Monday,0.0
2024-02-20,Tuesday,0.0
2024-02-21,Wednesday,0.0
2024-02-22,Thursday,0.0
2024-02-23,Friday,0.0
2024-02-24,Saturday,0.0
2024-02-25,Sunday,0.0
2024-02-26,Monday,0.0
2024-02-27,Tuesday,0.0
2024-02-28,Wednesday,0.0
2024-02-29,Thursday,0.0
2024-03-01,Friday,0.0
2024-03-02,Saturday,0.0
2024-03-03,Sunday,0.0
2024-03-04,Monday,0.0
2024-03-05,Tuesday,0.0
2024-03-06,Wednesday,0.0
2024-03-07,Thursday,0.0
2024-03-08,Friday,0.0
2024-03-09,Saturday,0.0
2024-03-10,Sunday,0.0
2024-03-11,Monday,0.0
2024-03-12,Tuesday,0.0
2024-03-13,Wednesday,0.0
2024-03-14,Thursday,0.0
2024-03-15,Friday,0.0
2024-03-16,Saturday,0.0
2024-03-17,Sunday,0.0
2024-03-18,Monday,0.0
2024-03-19,Tuesday,0.0
2024-03-20,Wednesday,0.0
2024-03-21,Thursday,0.0
2024-03-22,Friday,0.0
2024-03-23,Saturday,0.0
2024-03-24,Sunday,0.0
2024-03-25,Monday,0.0
2024-03-26,Tuesday,0.0
2024-03-27,Wednesday,0.0
2024-03-28,Thursday,0.0
2024-03-29,Friday,0.0
2024-03-30,Saturday,0.0
2024-03-31,Sunday,0.0
2024-01-01,Monday,0.0
2024-01-02,Tuesday,0.0
2024-01-03,Wednesday,0.0
2024-01-04,Thursday,0.0
2024-01-05,Friday,0.0
2024-01-06,Saturday,0.0
2024-01-07,Sunday,0.0
2024-01-08,Monday,0.0
2024-01-09,Tuesday,0.0
2024-01-10,Wednesday,0.0
2024-01-11,Thursday,0.0
2024-01-12,Friday,0.0
2024-01-13,Saturday,0.0
2024-01-14,Sunday,0.0
2024-01-15,Monday,0.0
2024-01-16,Tuesday,0.0
2024-01-17,Wednesday,0.0
2024-01-18,Thursday,0.0
2024-01-19,Friday,0.0
2024-01-20,Saturday,0.0
2024-01-21,Sunday,0.0
2024-01-22,Monday,0.0
2024-01-23,Tuesday,0.0
2024-01-24,Wednesday,0.0
2024-01-25,Thursday,0.0
2024-01-26,Friday,0.0
2024-01-27,Saturday,0.0
2024-01-28,Sunday,0.0
2024-01-29,Monday,0.0
2024-01-30,Tuesday,0.0
2024-01-31,Wednesday,0.0
2024-02-01,Thursday,0.0
2024-02-02,Friday,0.0
2024-02-03,Saturday,0.0
2024-02-04,Sunday,0.0
2024-02-05,Monday,0.0
2024-02-06,Tuesday,0.0
2024-02-07,Wednesday,0.0
2024-02-08,Thursday,0.0
2024-02-09,Friday,0.0
2024-02-10,Saturday,0.0
2024-02-11,Sunday,0.0
2024-02-12,Monday,0.0
2024-02-13,Tuesday,0.0
2024-02-14,Wednesday,0.0
2024-02-15,Thursday,0.0
2024-02-16,Friday,0.0
2024-02-17,Saturday,0.0
2024-02-18,Sunday,0.0
2024-02-19,Monday,0.0
2024-02-20,Tuesday,0.0
2024-02-21,Wednesday,0.0
2024-02-22,Thursday,7.5
2024-02-23,Friday,0.0
2024-02-24,Saturday,7.5
2024-02-25,Sunday,0.0
2024-02-26,Monday,0.0
2024-02-27,Tuesday,0.0
2024-02-28,Wednesday,0.0
2024-02-29,Thursday,0.0
2024-03-01,Friday,0.0
2024-03-02,Saturday,7.5
2024-03-03,Sunday,7.5
2024-03-04,Monday,0.0
2024-03-05,Tuesday,12.0
2024-03-06,Wednesday,8.5
2024-03-07,Thursday,15.0
2024-03-08,Friday,6.52
2024-03-09,Saturday,16.0
2024-03-10,Sunday,14.1
2024-03-11,Monday,6.73
2024-03-12,Tuesday,7.57
2024-03-13,Wednesday,0.0
2024-03-14,Thursday,15.03
2024-03-15,Friday,14.92
2024-03-16,Saturday,0.0
2024-03-17,Sunday,14.77
2024-03-18,Monday,15.27
2024-03-19,Tuesday,29.22
2024-03-20,Wednesday,29.92
2024-03-21,Thursday,22.28
2024-03-22,Friday,13.52
2024-03-23,Saturday,36.02
2024-03-24,Sunday,29.7
2024-03-25,Monday,0.0
2024-03-26,Tuesday,7.5
2024-03-27,Wednesday,0.0
2024-03-28,Thursday,14.87
2024-03-29,Friday,22.01
2024-03-30,Saturday,22.65
2024-03-31,Sunday,14.48
2024-01-01,Monday,88.64
2024-01-02,Tuesday,100.82
2024-01-03,Wednesday,93.44
2024-01-04,Thursday,85.43
2024-01-05,Friday,83.0
2024-01-06,Saturday,96.42
2024-01-07,Sunday,84.3
2024-01-08,Monday,108.55
2024-01-09,Tuesday,122.66
2024-01-10,Wednesday,66.43
2024-01-11,Thursday,93.47
2024-01-12,Friday,96.13
2024-01-13,Saturday,109.75
2024-01-14,Sunday,126.76
2024-01-15,Monday,100.33
2024-01-16,Tuesday,52.96
2024-01-17,Wednesday,112.37
2024-01-18,Thursday,120.76
2024-01-19,Friday,139.3
2024-01-20,Saturday,117.23
2024-01-21,Sunday,66.93
2024-01-22,Monday,106.76
2024-01-23,Tuesday,77.99
2024-01-24,Wednesday,83.83
2024-01-25,Thursday,91.99
2024-01-26,Friday,116.52
2024-01-27,Saturday,107.9
2024-01-28,Sunday,119.98
2024-01-29,Monday,126.22
2024-01-30,Tuesday,106.22
2024-01-31,Wednesday,97.78
2024-02-01,Thursday,119.11
2024-02-02,Friday,125.0
2024-02-03,Saturday,96.16
2024-02-04,Sunday,72.0
2024-02-05,Monday,108.09
2024-02-06,Tuesday,88.97
2024-02-07,Wednesday,83.38
2024-02-08,Thursday,99.78
2024-02-09,Friday,107.78
2024-02-10,Saturday,125.16
2024-02-11,Sunday,100.7
2024-02-12,Monday,102.81
2024-02-13,Tuesday,101.72
2024-02-14,Wednesday,117.68
2024-02-15,Thursday,86.65
2024-02-16,Friday,128.96
2024-02-17,Saturday,63.83
2024-02-18,Sunday,85.3
2024-02-19,Monday,117.26
2024-02-20,Tuesday,125.5
2024-02-21,Wednesday,101.1
2024-02-22,Thursday,94.95
2024-02-23,Friday,126.6
2024-02-24,Saturday,108.93
2024-02-25,Sunday,94.48
2024-02-26,Monday,89.95
2024-02-27,Tuesday,143.53
2024-02-28,Wednesday,84.46
2024-02-29,Thursday,82.15
2024-03-01,Friday,100.89
2024-03-02,Saturday,89.99
2024-03-03,Sunday,73.46
2024-03-04,Monday,116.1
2024-03-05,Tuesday,115.16
2024-03-06,Wednesday,86.19
2024-03-07,Thursday,111.51
2024-03-08,Friday,114.66
2024-03-09,Saturday,95.48
2024-03-10,Sunday,86.54
2024-03-11,Monday,100.15
2024-03-12,Tuesday,89.66
2024-03-13,Wednesday,101.33
2024-03-14,Thursday,66.64
2024-03-15,Friday,131.49
2024-03-16,Saturday,119.63
2024-03-17,Sunday,84.65
2024-03-18,Monday,96.03
2024-03-19,Tuesday,105.03
2024-03-20,Wednesday,94.66
2024-03-21,Thursday,82.38
2024-03-22,Friday,73.7
2024-03-23,Saturday,106.99
2024-03-24,Sunday,88.41
2024-03-25,Monday,89.15
2024-03-26,Tuesday,105.71
2024-03-27,Wednesday,96.25
2024-03-28,Thursday,93.07
2024-03-29,Friday,140.97
2024-03-30,Saturday,108.99
2024-03-31,Sunday,106.78
2024-01-01,Monday,0.0
2024-01-02,Tuesday,0.0
2024-01-03,Wednesday,0.0
2024-01-04,Thursday,0.0
2024-01-05,Friday,0.0
2024-01-06,Saturday,0.0
2024-01-07,Sunday,0.0
2024-01-08,Monday,0.0
2024-01-09,Tuesday,0.0
2024-01-10,Wednesday,0.0
2024-01-11,Thursday,0.0
2024-01-12,Friday,0.0
2024-01-13,Saturday,0.0
2024-01-14,Sunday,0.0
2024-01-15,Monday,0.0
2024-01-16,Tuesday,0.0
2024-01-17,Wednesday,0.0
2024-01-18,Thursday,0.0
2024-01-19,Friday,0.0
2024-01-20,Saturday,0.0
2024-01-21,Sunday,0.0
2024-01-22,Monday,0.0
2024-01-23,Tuesday,0.0
2024-01-24,Wednesday,0.0
2024-01-25,Thursday,0.0
2024-01-26,Friday,0.0
2024-01-27,Saturday,0.0
2024-01-28,Sunday,0.0
2024-01-29,Monday,0.0
2024-01-30,Tuesday,0.0
2024-01-31,Wednesday,0.0
2024-02-01,Thursday,0.0
2024-02-02,Friday,0.0
2024-02-03,Saturday,0.0
2024-02-04,Sunday,0.0
2024-02-05,Monday,0.0
2024-02-06,Tuesday,0.0
2024-02-07,Wednesday,0.0
2024-02-08,Thursday,0.0
2024-02-09,Friday,0.0
2024-02-10,Saturday,0.0
2024-02-11,Sunday,0.0
2024-02-12,Monday,0.0
2024-02-13,Tuesday,0.0
2024-02-14,Wednesday,0.0
2024-02-15,Thursday,0.0
2024-02-16,Friday,0.0
2024-02-17,Saturday,0.0
2024-02-18,Sunday,0.0
2024-02-19,Monday,0.0
2024-02-20,Tuesday,0.0
2024-02-21,Wednesday,0.0
2024-02-22,Thursday,0.0
2024-02-23,Friday,0.0
2024-02-24,Saturday,0.0
2024-02-25,Sunday,0.0
2024-02-26,Monday,0.0
2024-02-27,Tuesday,0.0
2024-02-28,Wednesday,0.0
2024-02-29,Thursday,0.0
2024-03-01,Friday,0.0
2024-03-02,Saturday,0.0
2024-03-03,Sunday,0.0
2024-03-04,Monday,0.0
2024-03-05,Tuesday,0.0
2024-03-06,Wednesday,0.0
2024-03-07,Thursday,0.0
2024-03-08,Friday,0.0
2024-03-09,Saturday,0.0
2024-03-10,Sunday,0.0
2024-03-11,Monday,0.0
2024-03-12,Tuesday,0.0
2024-03-13,Wednesday,0.0
2024-03-14,Thursday,0.0
2024-03-15,Friday,0.0
2024-03-16,Saturday,0.0
2024-03-17,Sunday,0.0
2024-03-18,Monday,0.0
2024-03-19,Tuesday,0.0
2024-03-20,Wednesday,0.0
2024-03-21,Thursday,0.0
2024-03-22,Friday,0.0
2024-03-23,Saturday,0.0
2024-03-24,Sunday,0.0
2024-03-25,Monday,0.0
2024-03-26,Tuesday,0.0
2024-03-27,Wednesday,0.0
2024-03-28,Thursday,0.0
2024-03-29,Friday,0.0
2024-03-30,Saturday,0.0
2024-03-31,Sunday,0.0
2024-01-01,Monday,21.07
2024-01-02,Tuesday,17.72
2024-01-03,Wednesday,6.0
2024-01-04,Thursday,26.5
2024-01-05,Friday,26.55
2024-01-06,Saturday,36.0
2024-01-07,Sunday,40.57
2024-01-08,Monday,12.57
2024-01-09,Tuesday,14.28
2024-01-10,Wednesday,14.0
2024-01-11,Thursday,24.5
2024-01-12,Friday,20.0
2024-01-13,Saturday,6.5
2024-01-14,Sunday,22.0
2024-01-15,Monday,7.25
2024-01-16,Tuesday,13.33
2024-01-17,Wednesday,13.5
2024-01-18,Thursday,6.04
2024-01-19,Friday,41.52
2024-01-20,Saturday,40.0
2024-01-21,Sunday,22.5
2024-01-22,Monday,13.35
2024-01-23,Tuesday,24.75
2024-01-24,Wednesday,25.5
2024-01-25,Thursday,31.17
2024-01-26,Friday,37.08
2024-01-27,Saturday,41.5
2024-01-28,Sunday,30.0
2024-01-29,Monday,14.0
2024-01-30,Tuesday,19.0
2024-01-31,Wednesday,19.0
2024-02-01,Thursday,18.0
2024-02-02,Friday,22.5
2024-02-03,Saturday,26.5
2024-02-04,Sunday,30.53
2024-02-05,Monday,20.55
2024-02-06,Tuesday,27.07
2024-02-07,Wednesday,14.0
2024-02-08,Thursday,36.0
2024-02-09,Friday,20.0
2024-02-10,Saturday,12.0
2024-02-11,Sunday,27.05
2024-02-12,Monday,7.15
2024-02-13,Tuesday,4.0
